spectrum_file,n_points,wavelength_min_micron,wavelength_max_micron,wavelength_span_micron,median_bandwidth_micron,median_relative_flux_error,max_wavelength_gap_micron,classification
WASP_39_b_3.11466_5502_6.tbl,147,0.52132,5.34412,4.8228,0.02973,0.0035313288033397357,0.0600900000000002,independent_validation_candidate
WASP_39_b_3.11466_5087_1.tbl,207,0.53146,5.34413,4.81267,,0.0046457002410460165,0.059719999999999995,independent_validation_candidate
WASP_39_b_3.11466_5040_1.tbl,107,2.4275,4.0175,1.5899999999999999,0.015,0.006357198315413029,0.015000000000000568,independent_validation_candidate
WASP_39_b_3.11466_4988_4.tbl,243,3.00067,5.3405,2.3398299999999996,,0.01072942423172024,0.05090000000000039,independent_validation_candidate
WASP_39_b_3.11466_4988_1.tbl,94,3.0085,5.288,2.2795,0.01175,0.005680480185310952,0.04750000000000032,independent_validation_candidate
WASP_39_b_3.11466_4988_2.tbl,95,3.01386,5.54762,2.53376,0.02484,0.005896623165052326,0.18541000000000007,independent_validation_candidate
WASP_39_b_3.11466_4988_3.tbl,67,3.017,5.465,2.448,,0.005861519221773539,0.051000000000000156,independent_validation_candidate
WASP_39_b_3.11466_5352_1.tbl,28,5.125,11.875,6.75,0.25,0.009712364184152299,0.25,low_resolution_long_wavelength
WASP_39_b_3.11466_5352_2.tbl,26,5.125,11.375,6.25,0.25,0.012249193085835657,0.25,low_resolution_long_wavelength
WASP_39_b_3.11466_5352_3.tbl,28,5.125,11.875,6.75,0.25,0.011422044111255572,0.25,low_resolution_long_wavelength
WASP_39_b_3.11466_3491_1.tbl,1,0.354,0.354,0.0,,0.16498240886293886,,photometric_or_very_sparse
WASP_39_b_3.11466_3491_2.tbl,2,0.634,0.804,0.17000000000000004,,0.03256270404087229,0.17000000000000004,photometric_or_very_sparse
WASP_39_b_3.11466_3717_1.tbl,2,3.56,4.5,0.94,0.47000000000000003,0.009226852619570642,0.94,photometric_or_very_sparse
WASP_39_b_3.11466_3868_1.tbl,2,3.6,4.5,0.8999999999999999,0.90645,0.016852131732436697,0.8999999999999999,photometric_or_very_sparse
WASP_39_b_3.11466_4121_1.tbl,2,3.6,4.5,0.8999999999999999,,0.1789772727272727,0.8999999999999999,photometric_or_very_sparse
WASP_39_b_3.11466_5869_313.tbl,1,3.6,3.6,0.0,,0.2266839378238342,,photometric_or_very_sparse
WASP_39_b_3.11466_6099_1.tbl,2,3.6,4.5,0.8999999999999999,,0.009280792420327304,0.8999999999999999,photometric_or_very_sparse
WASP_39_b_3.11466_5869_314.tbl,1,4.5,4.5,0.0,,0.26138433515482695,,photometric_or_very_sparse
WASP_39_b_3.11466_5078_1.tbl,331,0.63096,2.79649,2.16553,0.0029,0.0038603422424256847,0.026029999999999998,primary_reference_candidate
WASP_39_b_3.11466_5077_1.tbl,344,2.76293,5.16907,2.4061399999999997,0.0067,0.008537876339301437,0.11978,primary_reference_candidate
WASP_39_b_3.11466_3717_2.tbl,33,0.33,0.965,0.635,0.0075,0.013848825160332708,0.08999999999999997,supporting_observation
WASP_39_b_3.11466_3868_2.tbl,33,0.33,0.96,0.6299999999999999,0.01,0.01287686497864174,0.07999999999999996,supporting_observation
WASP_39_b_3.11466_3939_1.tbl,28,0.418,0.79,0.37200000000000005,0.012,0.01555432658354007,0.04200000000000004,supporting_observation
WASP_39_b_3.11466_5312_1.tbl,31,0.43,0.78,0.35000000000000003,0.01,0.049268802228412255,0.03999999999999998,supporting_observation
WASP_39_b_3.11466_5502_3.tbl,27,0.63298,0.84841,0.21543,0.00764,0.0038159360758979162,0.021509999999999918,supporting_observation
WASP_39_b_3.11466_4132_1.tbl,36,0.8225,1.6435,0.821,0.0186,0.008018216867117059,0.049000000000000044,supporting_observation
WASP_39_b_3.11466_5502_2.tbl,108,0.87711,2.80484,1.92773,0.015615,0.002851660539972758,0.04508000000000001,supporting_observation
WASP_39_b_3.11466_5295_1.tbl,20,1.0994,1.6616,0.5622,,0.005424834956131978,0.037900000000000045,supporting_observation
WASP_39_b_3.11466_5502_1.tbl,49,2.43278,3.98827,1.5554899999999998,0.03209,0.003965414568166815,0.0564300000000002,supporting_observation
WASP_39_b_3.11466_5502_4.tbl,30,2.73882,3.68651,0.9476900000000001,0.03218,0.003123514752681582,0.04744999999999999,supporting_observation
WASP_39_b_3.11466_5502_5.tbl,29,3.84864,5.12786,1.27922,0.04513,0.00399512612730954,0.06939000000000028,supporting_observation
